peak_id,peak_name,peak_alternative_name,height_metres,lat,long
DHA2,Dhaulagiri II,NA,7751,28.7631,83.3906
CHEO,Cheo Himal,NA,6820,28.765,84.4522
POTA,Pota Himal North,Peak Hawley,6182,28.7675,83.1975
HMLE,Himlung East,NA,6932,28.7692,84.4389
HIML,Himlung Himal,NA,7126,28.7717,84.4225
KTUN,Khatung Khang,NA,6484,28.7769,83.9214
SITA,Sita Chuchura,NA,6611,28.7825,83.4847
THOR,Thorong Peak,Thorung Peak,6144,28.7825,83.93
JING,Jinjang,"Genjang, Gajang, Jijang",6111,28.7845,84.0319
PHUK,Phu Kang,Phu Khang,6694,28.7933,84.4492
DHAM,Dhampus,"Thapa Peak, Marpha Peak",6012,28.7981,83.6119
PURB,Purbung Himal,Putrung,6500,28.8014,84.0206
YAKA,Yakawa Kang,NA,6482,28.8086,83.9444
POKR,Pokharkang,Pokhar Khang,6372,28.8128,84.2289
PURK,Purkhung,"Purkhang, Purkung",6126,28.8147,83.9928
MUKT,Mukut Himal,"Mukot Himal, Langru",6087,28.8169,83.4822
PHUN,Phu Kang North,Phu Khang North,6580,28.8208,84.4378
SISN,Sisne Himal,Hiunchuli Patan,5911,28.8278,82.6186
PHNG,Phungi,NA,6524,28.83,84.4028
AMOT,Amotsang,Amatson,6393,28.8347,84.1725
JOMS,Jomsom Himal,Jomsang Himal,6335,28.8408,84.1558
HONG,Hongde,"Hangde, Hongde Himal",6556,28.8431,83.4992
TASH,Tashi Kang,Tashi Khang,6386,28.8531,83.6314
TSAR,Tsartse,NA,6343,28.8614,83.6486
RATC,Ratna Chuli,NA,7035,28.8644,84.3772
CHIV,Chhiv Himal,Chhib Himal,6650,28.8738,84.1597
CHAK,Chako,NA,6704,28.8806,84.2886
SARI,Saribung,Selibung,6328,28.8844,84.1739
KARS,Karsang Kang,Kharsang,6225,28.893291,84.181616
BHRS,Bhrikuti Shail,NA,6361,28.8938,84.2258
LUGU,Lugula,NA,6899,28.8961,84.2617
KAKU,Kang Kuru,NA,6344,28.9014,84.1861
BHRI,Bhrikuti,Damodar Himal,6476,28.9207,84.148
SANK,Sano Kailash,NA,6452,28.9419,84.1336
DHEC,Dhechyan Khang,NA,6019,29.0358,84.2519
GAUG,Gaugiri,NA,6110,29.0453,84.19
KAGA,Kanta Gaton,Kangfu Gaton,5910,29.1033,82.9958
NORB,Norbu Kang,Norbu Khang,6085,29.1192,83.0747
KAG1,Kagmara I,NA,5978,29.1378,82.7613
ARNK,Arniko Chuli,Araniko Chuli,6034,29.1761,83.6594
DUDH,Dudh Kundali,"Dui Tal Chuli, Two Lakes Peak",6045,29.2239,82.5456
LHAS,Lha Shamma,"Lhasharma, Pinnacle Peak",6412,29.2258,82.7472
CHKA,Chamar Kang,"Chharka, Kangtega",6060,29.2361,83.3633
KJER,Kanjeralwa,Kanchen Ruwa,6612,29.2367,82.7889
GHYN,Ghyun Himal I,NA,6110,29.2442,83.7819
MUST,Mustang Himal,NA,6195,29.2861,83.81
SHEY,Shey Shikhar,Junction Peak,6139,29.2869,82.7972
BIJO,Bijora Hiunchuli,NA,6111,29.2919,82.5308
MNSS,Mansail South,Manshail South,6248,29.2944,83.8103
MNSL,Mansail,Manshail,6235,29.302,83.8156
TRIP,Tripura Hiunchuli,"Tripura Thumba, Hanging Glacier Peak",6553,29.3264,82.7375
JAGD,Jagdula,NA,5761,29.3269,82.5919
TSOK,Tso Karpo Kang,Tso Karpo Khang,6556,29.3681,82.7808
KJRS,Kanjiroba South,NA,6883,29.3752,82.6354
KJRN,Kanjiroba North,NA,6858,29.3838,82.6431
KAND,Kande Hiunchuli,NA,6627,29.4119,82.5589
PATR,Patrasi Himal,Kande Hiunchuli North,6450,29.4211,82.5925
BHUL,Bhulu Lhasa,NA,6102,29.4414,82.5994
LUNG,Lungchhung,NA,6043,29.6283,83.1222
DANS,Danphe Shail,Danfe Shail,6103,29.6725,83.0103
SWAK,Swaksa Kang,NA,6405,29.6864,82.8583
YARA,Yala Chuli,Yara Chuli,6236,29.6894,82.8289
MARI,Mariyang,NA,6528,29.6933,82.8889
TANK,Tankya I,NA,6305,29.7061,82.9169
CHNG,Changdi,NA,6623,29.7192,82.7986
TAKL,Takla Kang,Takla Khang,6276,29.7611,82.6953
KANT,Kanti Himal,"Ronglai Kangri, Kaqur Kangri, Kubi Grangri",6850,29.7664,82.7536
MAYT,Mayonthang Kang,Mayun Thang Khang,6449,29.7697,82.7467
ROKA,Rokapi,Kapchuli,6468,29.8478,81.0403
KNTE,Kanti Himal East,NA,6516,29.8531,82.7022
KOJI,Kojichuwa Chuli,NA,6439,29.8656,82.6436
JETH,Jethi Bahurani,"Jettiborani, Jutibofurani",6850,29.8817,81.0425
SAIE,Saipal East Humla,NA,6925,29.8911,81.5006
FIRW,Firnkopf West,NA,6745,29.8981,81.4469
FIRN,Firnkopf,Firnkopf East,6730,29.9013,81.4558
KAPT,Kaptang,NA,5965,29.9269,82.5736
BOBA,Bobaye,NA,6808,29.9592,81.0225
LHAY,Lhayul Peak,NA,6395,29.9761,80.8689
APIW,Api West,NA,7076,30.0017,80.9256
APIM,Api Main,NA,7132,30.0042,80.9333
NAMP,Nampa,Chisel Peak,6729,30.0042,80.9969
RAKS,Raksha Urai,Raksha Urai III,6609,30.0058,81.1289
GORK,Gorakh Khang,NA,6254,30.0442,82.3375
GORH,Gorakh Himal,NA,6198,30.065,82.2331
GDNG,Gave Ding,NA,6581,30.1258,82.1658
LCHA,Lachama Chuli,"Kubi Kangri, Kubi Dongdong",6721,30.1364,82.2006
LCHN,Lachama North,NA,6628,30.1433,82.2
TILK,Til Kang,NA,6369,30.27,81.4144
ACHN,Aichyn,"Aychin, Ashvin",6055,30.2708,81.8597
TAKP,Takphu Himal,NA,6395,30.2839,81.4178
CHAN,Changla,Changla Himal,6563,30.3031,82.1289
TAKN,Takphu North,NA,6142,30.3036,81.4222
CHWT,Changwathang,NA,6130,30.3264,81.8883
NALA,Nalakankar North,NA,6062,30.3575,81.4014
CHND,Chandi Himal,NA,6142,30.3592,81.9514
